host,cpu_usage,memory_usage,latency,timestamp
hydra-node-01,50.8,49.5,145.4,2025-10-31T03:55:00Z
hydra-node-01,44.7,41.3,125.1,2025-10-31T04:00:00Z
hydra-node-01,64.1,63.1,162.5,2025-10-31T04:05:00Z
hydra-node-01,71.9,50.1,180.3,2025-10-31T04:10:00Z
hydra-node-01,52.8,35.6,143.0,2025-10-31T04:15:00Z
hydra-node-01,62.1,49.1,155.0,2025-10-31T04:20:00Z
hydra-node-01,78.6,42.8,201.6,2025-10-31T04:25:00Z
hydra-node-01,68.6,39.8,181.0,2025-10-31T04:30:00Z
hydra-node-01,67.7,62.6,165.8,2025-10-31T04:35:00Z
hydra-node-01,47.0,40.0,143.1,2025-10-31T04:40:00Z
hydra-node-01,67.9,37.2,165.9,2025-10-31T04:45:00Z
hydra-node-01,52.8,50.1,151.6,2025-10-31T04:50:00Z
hydra-node-01,58.2,54.0,161.1,2025-10-31T04:55:00Z
hydra-node-01,79.5,38.0,206.9,2025-10-31T05:00:00Z
hydra-node-01,54.6,49.0,146.8,2025-10-31T05:05:00Z
hydra-node-01,80.0,63.7,206.9,2025-10-31T05:10:00Z
hydra-node-01,61.8,54.4,169.7,2025-10-31T05:15:00Z
hydra-node-01,62.6,44.3,162.4,2025-10-31T05:20:00Z
hydra-node-01,71.5,39.4,178.1,2025-10-31T05:25:00Z
hydra-node-01,53.1,59.4,154.2,2025-10-31T05:30:00Z
hydra-node-01,50.2,48.5,133.6,2025-10-31T05:35:00Z
hydra-node-01,71.7,43.0,183.8,2025-10-31T05:40:00Z
hydra-node-01,45.0,58.5,120.1,2025-10-31T05:45:00Z
hydra-node-01,68.0,45.7,169.9,2025-10-31T05:50:00Z
hydra-node-01,60.0,44.6,163.3,2025-10-31T05:55:00Z
hydra-node-01,64.5,57.2,173.0,2025-10-31T06:00:00Z
hydra-node-01,49.6,54.7,130.7,2025-10-31T06:05:00Z
hydra-node-01,65.1,45.9,164.7,2025-10-31T06:10:00Z
hydra-node-01,65.7,56.3,162.5,2025-10-31T06:15:00Z
hydra-node-01,73.3,55.4,187.0,2025-10-31T06:20:00Z
hydra-node-01,58.2,47.6,154.8,2025-10-31T06:25:00Z
hydra-node-01,63.9,51.0,171.1,2025-10-31T06:30:00Z
hydra-node-01,74.3,49.3,197.3,2025-10-31T06:35:00Z
hydra-node-01,65.8,57.5,167.0,2025-10-31T06:40:00Z
hydra-node-01,58.8,62.3,166.1,2025-10-31T06:45:00Z
hydra-node-01,67.4,61.1,170.8,2025-10-31T06:50:00Z
hydra-node-01,68.7,36.6,168.9,2025-10-31T06:55:00Z
hydra-node-01,69.0,55.6,171.6,2025-10-31T07:00:00Z
hydra-node-01,55.1,37.6,147.1,2025-10-31T07:05:00Z
hydra-node-01,68.3,45.2,179.7,2025-10-31T07:10:00Z
hydra-node-01,63.1,49.9,173.2,2025-10-31T07:15:00Z
hydra-node-01,44.9,50.6,125.9,2025-10-31T07:20:00Z
hydra-node-01,58.9,43.1,156.1,2025-10-31T07:25:00Z
hydra-node-01,79.5,47.6,206.1,2025-10-31T07:30:00Z
hydra-node-01,68.2,44.2,179.1,2025-10-31T07:35:00Z
hydra-node-01,47.6,52.5,140.7,2025-10-31T07:40:00Z
hydra-node-01,64.8,43.3,167.8,2025-10-31T07:45:00Z
hydra-node-01,63.0,51.5,173.0,2025-10-31T07:50:00Z
hydra-node-01,66.8,52.8,165.6,2025-10-31T07:55:00Z
hydra-node-01,58.8,44.1,159.9,2025-10-31T08:00:00Z
hydra-node-01,61.9,43.0,160.7,2025-10-31T08:05:00Z
hydra-node-01,54.5,56.7,157.1,2025-10-31T08:10:00Z
hydra-node-01,67.8,55.8,183.6,2025-10-31T08:15:00Z
hydra-node-01,53.8,43.4,141.6,2025-10-31T08:20:00Z
hydra-node-01,42.6,36.8,126.2,2025-10-31T08:25:00Z
hydra-node-01,50.2,62.6,133.8,2025-10-31T08:30:00Z
hydra-node-01,60.0,64.2,160.7,2025-10-31T08:35:00Z
hydra-node-01,63.3,42.5,166.4,2025-10-31T08:40:00Z
hydra-node-01,56.2,42.6,148.9,2025-10-31T08:45:00Z
hydra-node-01,59.1,45.8,163.7,2025-10-31T08:50:00Z
hydra-node-01,77.7,55.0,192.8,2025-10-31T08:55:00Z
hydra-node-01,57.4,64.8,160.4,2025-10-31T09:00:00Z
hydra-node-01,70.8,57.7,187.1,2025-10-31T09:05:00Z
hydra-node-01,58.6,51.3,149.2,2025-10-31T09:10:00Z
hydra-node-01,41.8,55.9,114.3,2025-10-31T09:15:00Z
hydra-node-01,57.3,40.5,163.0,2025-10-31T09:20:00Z
hydra-node-01,82.6,49.1,213.8,2025-10-31T09:25:00Z
hydra-node-01,53.6,59.2,140.7,2025-10-31T09:30:00Z
hydra-node-01,69.5,35.1,176.5,2025-10-31T09:35:00Z
hydra-node-01,61.2,64.3,155.1,2025-10-31T09:40:00Z
hydra-node-01,56.7,42.4,147.6,2025-10-31T09:45:00Z
hydra-node-01,58.9,40.2,162.0,2025-10-31T09:50:00Z
hydra-node-01,59.6,45.1,162.8,2025-10-31T09:55:00Z
hydra-node-01,60.4,60.3,168.2,2025-10-31T10:00:00Z
hydra-node-01,66.8,59.3,181.7,2025-10-31T10:05:00Z
hydra-node-01,48.8,45.0,142.8,2025-10-31T10:10:00Z
hydra-node-01,63.0,40.4,157.9,2025-10-31T10:15:00Z
hydra-node-01,55.3,62.2,159.7,2025-10-31T10:20:00Z
hydra-node-01,47.5,51.5,126.0,2025-10-31T10:25:00Z
hydra-node-01,55.6,63.9,147.7,2025-10-31T10:30:00Z
hydra-node-01,63.6,49.0,159.9,2025-10-31T10:35:00Z
hydra-node-01,80.5,39.8,209.0,2025-10-31T10:40:00Z
hydra-node-01,52.8,46.3,155.0,2025-10-31T10:45:00Z
hydra-node-01,58.4,39.9,149.8,2025-10-31T10:50:00Z
hydra-node-01,56.0,43.3,153.3,2025-10-31T10:55:00Z
hydra-node-01,74.4,41.6,190.1,2025-10-31T11:00:00Z
hydra-node-01,50.7,38.6,147.9,2025-10-31T11:05:00Z
hydra-node-01,72.8,35.7,186.0,2025-10-31T11:10:00Z
hydra-node-01,66.0,54.2,168.2,2025-10-31T11:15:00Z
hydra-node-01,67.0,55.9,169.3,2025-10-31T11:20:00Z
hydra-node-01,43.9,55.1,130.8,2025-10-31T11:25:00Z
hydra-node-01,64.5,36.0,172.8,2025-10-31T11:30:00Z
hydra-node-01,79.8,37.3,197.6,2025-10-31T11:35:00Z
hydra-node-01,61.9,49.1,164.6,2025-10-31T11:40:00Z
hydra-node-01,60.2,37.9,166.8,2025-10-31T11:45:00Z
hydra-node-01,55.0,51.1,150.4,2025-10-31T11:50:00Z
hydra-node-01,50.8,56.0,139.7,2025-10-31T11:55:00Z
hydra-node-01,62.4,64.1,170.2,2025-10-31T12:00:00Z
hydra-node-01,70.2,36.2,187.5,2025-10-31T12:05:00Z
hydra-node-01,59.6,50.7,160.9,2025-10-31T12:10:00Z
hydra-node-01,80.8,50.9,192.9,2025-10-31T12:15:00Z
hydra-node-01,73.8,60.1,194.2,2025-10-31T12:20:00Z
hydra-node-01,63.5,50.4,157.5,2025-10-31T12:25:00Z
hydra-node-01,62.7,58.1,165.0,2025-10-31T12:30:00Z
hydra-node-01,50.2,43.0,141.2,2025-10-31T12:35:00Z
hydra-node-01,58.7,45.1,162.4,2025-10-31T12:40:00Z
hydra-node-01,71.7,50.7,185.2,2025-10-31T12:45:00Z
hydra-node-01,70.3,50.3,188.4,2025-10-31T12:50:00Z
hydra-node-01,66.0,64.9,171.6,2025-10-31T12:55:00Z
hydra-node-01,56.5,58.8,152.6,2025-10-31T13:00:00Z
hydra-node-01,50.3,36.7,143.0,2025-10-31T13:05:00Z
hydra-node-01,69.1,51.1,184.4,2025-10-31T13:10:00Z
hydra-node-01,43.0,49.8,119.0,2025-10-31T13:15:00Z
hydra-node-01,58.3,38.7,158.5,2025-10-31T13:20:00Z
hydra-node-01,47.3,36.2,140.7,2025-10-31T13:25:00Z
hydra-node-01,51.0,46.1,135.3,2025-10-31T13:30:00Z
hydra-node-01,45.1,56.7,128.0,2025-10-31T13:35:00Z
hydra-node-01,54.3,60.5,145.4,2025-10-31T13:40:00Z
hydra-node-01,70.5,58.0,178.7,2025-10-31T13:45:00Z
hydra-node-01,60.5,39.3,170.8,2025-10-31T13:50:00Z
hydra-node-01,58.8,58.9,159.9,2025-10-31T13:55:00Z
hydra-node-01,62.4,63.9,156.2,2025-10-31T14:00:00Z
hydra-node-01,69.4,59.5,186.2,2025-10-31T14:05:00Z
hydra-node-01,62.4,61.3,161.7,2025-10-31T14:10:00Z
hydra-node-01,68.4,54.4,178.5,2025-10-31T14:15:00Z
hydra-node-01,47.0,59.5,143.7,2025-10-31T14:20:00Z
hydra-node-01,45.0,39.7,121.3,2025-10-31T14:25:00Z
hydra-node-01,51.5,55.2,145.6,2025-10-31T14:30:00Z
hydra-node-01,62.9,36.4,164.1,2025-10-31T14:35:00Z
hydra-node-01,56.5,39.9,156.9,2025-10-31T14:40:00Z
hydra-node-01,70.2,64.8,186.2,2025-10-31T14:45:00Z
hydra-node-01,63.1,45.3,172.9,2025-10-31T14:50:00Z
hydra-node-01,63.9,54.1,164.0,2025-10-31T14:55:00Z
hydra-node-01,73.7,56.8,181.0,2025-10-31T15:00:00Z
hydra-node-01,58.8,45.6,151.7,2025-10-31T15:05:00Z
hydra-node-01,52.6,56.4,153.6,2025-10-31T15:10:00Z
hydra-node-01,46.2,54.6,132.9,2025-10-31T15:15:00Z
hydra-node-01,64.7,38.3,177.8,2025-10-31T15:20:00Z
hydra-node-01,63.8,53.8,170.8,2025-10-31T15:25:00Z
hydra-node-01,62.3,35.7,156.5,2025-10-31T15:30:00Z
hydra-node-01,56.7,40.1,159.7,2025-10-31T15:35:00Z
hydra-node-01,56.0,44.2,154.1,2025-10-31T15:40:00Z
hydra-node-01,66.6,48.5,174.6,2025-10-31T15:45:00Z
hydra-node-01,62.8,41.0,172.4,2025-10-31T15:50:00Z
hydra-node-01,45.5,42.1,134.8,2025-10-31T15:55:00Z
hydra-node-01,48.5,58.7,145.0,2025-10-31T16:00:00Z
hydra-node-01,64.3,41.6,159.4,2025-10-31T16:05:00Z
hydra-node-01,53.2,63.5,149.9,2025-10-31T16:10:00Z
hydra-node-01,63.9,44.3,158.2,2025-10-31T16:15:00Z
hydra-node-01,54.4,48.9,156.8,2025-10-31T16:20:00Z
hydra-node-01,50.3,35.2,136.5,2025-10-31T16:25:00Z
hydra-node-01,59.4,37.2,162.5,2025-10-31T16:30:00Z
hydra-node-01,72.7,48.4,193.4,2025-10-31T16:35:00Z
hydra-node-01,45.0,63.5,123.1,2025-10-31T16:40:00Z
hydra-node-01,59.3,46.3,163.2,2025-10-31T16:45:00Z
hydra-node-01,53.8,57.0,154.6,2025-10-31T16:50:00Z
hydra-node-01,67.5,60.5,182.1,2025-10-31T16:55:00Z
hydra-node-01,57.2,64.4,150.7,2025-10-31T17:00:00Z
hydra-node-01,59.2,55.1,165.4,2025-10-31T17:05:00Z
hydra-node-01,71.8,52.7,182.0,2025-10-31T17:10:00Z
hydra-node-01,50.3,60.6,149.8,2025-10-31T17:15:00Z
hydra-node-01,51.9,52.1,135.0,2025-10-31T17:20:00Z
hydra-node-01,72.1,58.8,179.4,2025-10-31T17:25:00Z
hydra-node-01,70.9,45.5,183.1,2025-10-31T17:30:00Z
hydra-node-01,59.6,47.3,163.8,2025-10-31T17:35:00Z
hydra-node-01,71.2,35.6,184.6,2025-10-31T17:40:00Z
hydra-node-01,69.7,63.2,187.0,2025-10-31T17:45:00Z
hydra-node-01,75.6,49.1,189.7,2025-10-31T17:50:00Z
hydra-node-01,62.8,56.6,159.7,2025-10-31T17:55:00Z
hydra-node-01,70.9,45.7,176.4,2025-10-31T18:00:00Z
hydra-node-01,60.5,44.2,158.5,2025-10-31T18:05:00Z
hydra-node-01,56.9,44.1,145.5,2025-10-31T18:10:00Z
hydra-node-01,61.6,45.1,157.0,2025-10-31T18:15:00Z
hydra-node-01,58.0,64.7,152.6,2025-10-31T18:20:00Z
hydra-node-01,50.9,47.4,144.0,2025-10-31T18:25:00Z
hydra-node-01,67.1,60.2,175.2,2025-10-31T18:30:00Z
hydra-node-01,49.2,46.8,133.9,2025-10-31T18:35:00Z
hydra-node-01,57.0,50.5,160.4,2025-10-31T18:40:00Z
hydra-node-01,55.2,42.6,149.5,2025-10-31T18:45:00Z
hydra-node-01,52.1,56.0,135.1,2025-10-31T18:50:00Z
hydra-node-01,51.5,51.8,144.0,2025-10-31T18:55:00Z
hydra-node-01,60.0,54.3,157.5,2025-10-31T19:00:00Z
hydra-node-01,76.7,58.2,187.5,2025-10-31T19:05:00Z
hydra-node-01,71.1,41.2,176.6,2025-10-31T19:10:00Z
hydra-node-01,55.1,58.2,143.8,2025-10-31T19:15:00Z
hydra-node-01,69.5,51.7,186.7,2025-10-31T19:20:00Z
hydra-node-01,73.3,45.2,179.7,2025-10-31T19:25:00Z
hydra-node-01,64.3,53.9,177.8,2025-10-31T19:30:00Z
hydra-node-01,66.6,51.7,168.5,2025-10-31T19:35:00Z
hydra-node-01,67.3,49.7,178.0,2025-10-31T19:40:00Z
hydra-node-01,64.3,39.4,174.6,2025-10-31T19:45:00Z
hydra-node-01,73.2,58.8,180.1,2025-10-31T19:50:00Z
hydra-node-01,75.6,47.8,187.4,2025-10-31T19:55:00Z
hydra-node-01,55.1,61.8,150.0,2025-10-31T20:00:00Z
hydra-node-01,65.8,49.5,165.2,2025-10-31T20:05:00Z
hydra-node-01,54.7,57.6,142.7,2025-10-31T20:10:00Z
hydra-node-01,70.9,48.9,183.9,2025-10-31T20:15:00Z
hydra-node-01,66.2,47.5,177.8,2025-10-31T20:20:00Z
hydra-node-01,56.3,59.3,153.1,2025-10-31T20:25:00Z
hydra-node-01,63.5,50.7,173.5,2025-10-31T20:30:00Z
hydra-node-01,52.2,59.0,143.3,2025-10-31T20:35:00Z
hydra-node-01,64.1,37.4,163.2,2025-10-31T20:40:00Z
hydra-node-01,58.7,62.3,156.9,2025-10-31T20:45:00Z
hydra-node-01,56.1,46.6,154.8,2025-10-31T20:50:00Z
hydra-node-01,67.8,46.2,175.9,2025-10-31T20:55:00Z
hydra-node-01,77.1,43.7,188.1,2025-10-31T21:00:00Z
hydra-node-01,72.6,39.2,182.6,2025-10-31T21:05:00Z
hydra-node-01,56.3,63.5,153.3,2025-10-31T21:10:00Z
hydra-node-01,70.1,43.3,182.6,2025-10-31T21:15:00Z
hydra-node-01,67.1,64.3,180.5,2025-10-31T21:20:00Z
hydra-node-01,45.0,52.0,134.6,2025-10-31T21:25:00Z
hydra-node-01,51.2,39.5,148.0,2025-10-31T21:30:00Z
hydra-node-01,60.9,58.8,171.3,2025-10-31T21:35:00Z
hydra-node-01,58.4,42.4,160.1,2025-10-31T21:40:00Z
hydra-node-01,64.2,59.5,167.1,2025-10-31T21:45:00Z
hydra-node-01,58.7,49.6,158.5,2025-10-31T21:50:00Z
hydra-node-01,70.0,47.1,172.9,2025-10-31T21:55:00Z
hydra-node-01,53.1,53.1,146.2,2025-10-31T22:00:00Z
hydra-node-01,59.5,41.2,158.4,2025-10-31T22:05:00Z
hydra-node-01,47.0,57.1,142.7,2025-10-31T22:10:00Z
hydra-node-01,78.8,64.8,193.9,2025-10-31T22:15:00Z
hydra-node-01,62.2,64.1,158.4,2025-10-31T22:20:00Z
hydra-node-01,53.3,35.8,140.2,2025-10-31T22:25:00Z
hydra-node-01,60.1,38.5,158.0,2025-10-31T22:30:00Z
hydra-node-01,57.3,50.6,149.3,2025-10-31T22:35:00Z
hydra-node-01,63.7,44.8,176.7,2025-10-31T22:40:00Z
hydra-node-01,56.7,56.2,157.6,2025-10-31T22:45:00Z
hydra-node-01,70.6,47.8,181.6,2025-10-31T22:50:00Z
hydra-node-01,53.5,48.2,146.0,2025-10-31T22:55:00Z
hydra-node-01,73.6,37.3,192.8,2025-10-31T23:00:00Z
hydra-node-01,52.0,50.7,147.9,2025-10-31T23:05:00Z
hydra-node-01,54.1,41.6,150.2,2025-10-31T23:10:00Z
hydra-node-01,52.7,61.9,155.2,2025-10-31T23:15:00Z
hydra-node-01,57.6,49.1,153.3,2025-10-31T23:20:00Z
hydra-node-01,66.2,36.3,174.8,2025-10-31T23:25:00Z
hydra-node-01,63.3,52.6,168.2,2025-10-31T23:30:00Z
hydra-node-01,65.1,60.3,174.5,2025-10-31T23:35:00Z
hydra-node-01,44.7,56.1,131.3,2025-10-31T23:40:00Z
hydra-node-01,52.7,50.8,151.9,2025-10-31T23:45:00Z
hydra-node-01,67.8,55.6,184.0,2025-10-31T23:50:00Z
hydra-node-01,53.4,47.9,141.2,2025-10-31T23:55:00Z
hydra-node-02,81.9,63.3,213.3,2025-10-31T00:00:00Z
hydra-node-02,76.3,60.7,193.8,2025-10-31T00:05:00Z
hydra-node-02,54.7,62.9,145.4,2025-10-31T00:10:00Z
hydra-node-02,60.2,54.3,156.4,2025-10-31T00:15:00Z
hydra-node-02,58.5,37.9,163.8,2025-10-31T00:20:00Z
hydra-node-02,57.7,35.6,149.0,2025-10-31T00:25:00Z
hydra-node-02,64.9,49.1,175.7,2025-10-31T00:30:00Z
hydra-node-02,70.0,59.4,170.2,2025-10-31T00:35:00Z
hydra-node-02,47.1,53.6,139.9,2025-10-31T00:40:00Z
hydra-node-02,57.2,48.6,153.3,2025-10-31T00:45:00Z
hydra-node-02,46.6,57.1,124.6,2025-10-31T00:50:00Z
hydra-node-02,47.6,42.6,143.0,2025-10-31T00:55:00Z
hydra-node-02,65.9,40.6,169.1,2025-10-31T01:00:00Z
hydra-node-02,63.8,42.2,160.8,2025-10-31T01:05:00Z
hydra-node-02,55.2,59.7,159.1,2025-10-31T01:10:00Z
hydra-node-02,50.5,39.0,142.4,2025-10-31T01:15:00Z
hydra-node-02,74.2,36.3,183.2,2025-10-31T01:20:00Z
hydra-node-02,67.1,57.5,176.9,2025-10-31T01:25:00Z
hydra-node-02,50.7,64.5,134.1,2025-10-31T01:30:00Z
hydra-node-02,53.9,63.9,139.9,2025-10-31T01:35:00Z
hydra-node-02,76.4,45.4,202.8,2025-10-31T01:40:00Z
hydra-node-02,58.3,38.4,154.8,2025-10-31T01:45:00Z
hydra-node-02,64.1,61.9,167.7,2025-10-31T01:50:00Z
hydra-node-02,52.8,56.2,139.7,2025-10-31T01:55:00Z
hydra-node-02,65.8,36.0,171.3,2025-10-31T02:00:00Z
hydra-node-02,64.2,49.4,167.8,2025-10-31T02:05:00Z
hydra-node-02,71.5,38.9,183.8,2025-10-31T02:10:00Z
hydra-node-02,66.7,40.9,168.0,2025-10-31T02:15:00Z
hydra-node-02,70.4,44.1,177.0,2025-10-31T02:20:00Z
hydra-node-02,65.6,50.6,164.2,2025-10-31T02:25:00Z
hydra-node-02,45.2,38.9,134.8,2025-10-31T02:30:00Z
hydra-node-02,47.5,45.2,141.5,2025-10-31T02:35:00Z
hydra-node-02,57.5,50.1,155.0,2025-10-31T02:40:00Z
hydra-node-02,61.9,44.5,171.3,2025-10-31T02:45:00Z
hydra-node-02,51.4,53.3,146.3,2025-10-31T02:50:00Z
hydra-node-02,60.7,44.6,169.6,2025-10-31T02:55:00Z
hydra-node-02,48.9,39.7,139.7,2025-10-31T03:00:00Z
hydra-node-02,55.9,42.4,160.1,2025-10-31T03:05:00Z
hydra-node-02,72.0,63.1,178.9,2025-10-31T03:10:00Z
hydra-node-02,74.2,52.0,188.0,2025-10-31T03:15:00Z
hydra-node-02,58.3,50.7,156.8,2025-10-31T03:20:00Z
hydra-node-02,67.4,38.2,174.3,2025-10-31T03:25:00Z
hydra-node-02,51.4,47.1,136.5,2025-10-31T03:30:00Z
hydra-node-02,42.6,53.3,128.9,2025-10-31T03:35:00Z
hydra-node-02,57.3,40.0,150.4,2025-10-31T03:40:00Z
hydra-node-02,64.6,47.3,168.3,2025-10-31T03:45:00Z
hydra-node-02,41.9,40.5,130.1,2025-10-31T03:50:00Z
hydra-node-02,67.0,47.7,177.0,2025-10-31T03:55:00Z
hydra-node-02,57.0,60.1,152.4,2025-10-31T04:00:00Z
hydra-node-02,55.1,39.1,157.8,2025-10-31T04:05:00Z
hydra-node-02,45.4,51.0,138.1,2025-10-31T04:10:00Z
hydra-node-02,66.1,61.7,180.6,2025-10-31T04:15:00Z
hydra-node-02,82.8,62.3,208.6,2025-10-31T04:20:00Z
hydra-node-02,46.8,44.2,140.1,2025-10-31T04:25:00Z
hydra-node-02,79.3,56.5,208.6,2025-10-31T04:30:00Z
hydra-node-02,69.1,41.7,174.8,2025-10-31T04:35:00Z
hydra-node-02,78.6,37.6,194.5,2025-10-31T04:40:00Z
hydra-node-02,63.0,57.8,173.9,2025-10-31T04:45:00Z
hydra-node-02,64.6,41.1,164.6,2025-10-31T04:50:00Z
hydra-node-02,62.4,49.0,172.1,2025-10-31T04:55:00Z
hydra-node-02,48.2,46.6,139.9,2025-10-31T05:00:00Z
hydra-node-02,68.0,37.8,180.7,2025-10-31T05:05:00Z
hydra-node-02,63.8,59.7,174.5,2025-10-31T05:10:00Z
hydra-node-02,58.9,44.9,154.5,2025-10-31T05:15:00Z
hydra-node-02,64.6,46.9,164.8,2025-10-31T05:20:00Z
hydra-node-02,54.1,58.1,150.1,2025-10-31T05:25:00Z
hydra-node-02,50.9,61.1,134.7,2025-10-31T05:30:00Z
hydra-node-02,62.5,44.7,156.5,2025-10-31T05:35:00Z
hydra-node-02,53.3,47.7,142.8,2025-10-31T05:40:00Z
hydra-node-02,65.2,35.1,165.4,2025-10-31T05:45:00Z
hydra-node-02,65.8,56.1,179.5,2025-10-31T05:50:00Z
hydra-node-02,67.3,37.3,182.7,2025-10-31T05:55:00Z
hydra-node-02,70.0,50.6,176.5,2025-10-31T06:00:00Z
hydra-node-02,76.0,47.1,195.2,2025-10-31T06:05:00Z
hydra-node-02,61.2,40.6,168.1,2025-10-31T06:10:00Z
hydra-node-02,51.6,52.7,144.7,2025-10-31T06:15:00Z
hydra-node-02,52.0,58.7,144.1,2025-10-31T06:20:00Z
hydra-node-02,49.0,35.8,139.0,2025-10-31T06:25:00Z
hydra-node-02,70.5,46.2,176.3,2025-10-31T06:30:00Z
hydra-node-02,67.0,62.9,182.8,2025-10-31T06:35:00Z
hydra-node-02,73.7,57.7,182.3,2025-10-31T06:40:00Z
hydra-node-02,79.3,56.5,191.8,2025-10-31T06:45:00Z
hydra-node-02,62.1,40.4,157.6,2025-10-31T06:50:00Z
hydra-node-02,60.7,47.9,160.7,2025-10-31T06:55:00Z
hydra-node-02,71.8,45.1,178.1,2025-10-31T07:00:00Z
hydra-node-02,55.9,35.0,161.3,2025-10-31T07:05:00Z
hydra-node-02,74.0,63.5,180.2,2025-10-31T07:10:00Z
hydra-node-02,58.4,38.5,158.9,2025-10-31T07:15:00Z
hydra-node-02,62.6,44.0,174.6,2025-10-31T07:20:00Z
hydra-node-02,56.7,41.3,156.2,2025-10-31T07:25:00Z
hydra-node-02,60.7,62.1,166.7,2025-10-31T07:30:00Z
hydra-node-02,66.3,36.4,165.4,2025-10-31T07:35:00Z
hydra-node-02,62.0,57.2,157.9,2025-10-31T07:40:00Z
hydra-node-02,56.0,49.9,148.2,2025-10-31T07:45:00Z
hydra-node-02,57.8,46.2,165.0,2025-10-31T07:50:00Z
hydra-node-02,53.5,50.3,139.5,2025-10-31T07:55:00Z
hydra-node-02,61.5,52.3,155.7,2025-10-31T08:00:00Z
hydra-node-02,73.6,40.8,195.0,2025-10-31T08:05:00Z
hydra-node-02,78.7,44.9,197.1,2025-10-31T08:10:00Z
hydra-node-02,57.2,45.6,154.2,2025-10-31T08:15:00Z
hydra-node-02,61.5,55.0,167.7,2025-10-31T08:20:00Z
hydra-node-02,57.1,55.9,158.3,2025-10-31T08:25:00Z
hydra-node-02,72.5,37.5,181.0,2025-10-31T08:30:00Z
hydra-node-02,67.2,50.3,183.2,2025-10-31T08:35:00Z
hydra-node-02,64.8,50.4,164.4,2025-10-31T08:40:00Z
hydra-node-02,71.6,64.2,179.9,2025-10-31T08:45:00Z
hydra-node-02,66.4,55.4,180.9,2025-10-31T08:50:00Z
hydra-node-02,67.2,37.0,182.7,2025-10-31T08:55:00Z
hydra-node-02,66.3,40.5,165.9,2025-10-31T09:00:00Z
hydra-node-02,61.0,40.4,169.8,2025-10-31T09:05:00Z
